,cnpj,razao_social,id_municipio,peso_cobre_ajustado,valor_fob_ajustado,total_peso_municipio,total_valor_fob_municipio
554,16518756000167,SALES TECNOLOGIA E ILUMINACAO IMPORTACAO E EXPORTACAO L,3127701,1128.673076923077,7623.788461538462,6649043,14211456
555,28871599000158,SINO BRAZIL PARTICIPACOES LTDA,3127701,1128.673076923077,7623.788461538462,6649043,14211456
556,27129526000122,SOARES EXPORTACAO EIRELI,3127701,1128.673076923077,7623.788461538462,6649043,14211456
557,24543921000169,SUPER I TELECOM LTDA,3127701,1128.673076923077,7623.788461538462,6649043,14211456
558,28215736000104,V R EXPORTACAO E IMPORTACAO LTDA,3127701,1128.673076923077,7623.788461538462,6649043,14211456
559,11287396000116,VALMIRO DA ROCHA MIRANDA - ME,3127701,1128.673076923077,7623.788461538462,6649043,14211456
560,20602371000150,VASCONCELOS PEDRAS COMERCIO E INDUSTRIA LTDA,3127701,1128.673076923077,7623.788461538462,6649043,14211456
561,18965287000150,W M DE SOUZA COMERCIAL EIRELI,3127701,1128.673076923077,7623.788461538462,6649043,14211456
562,11236005000134,W M SOARES,3127701,1128.673076923077,7623.788461538462,6649043,14211456
563,11807103000184,2 WAY COMERCIO DE EQUIPAMENTOS INDUSTRIAIS LTDA,3144805,889.2575757575758,6006.621212121212,10505495,53742220
564,65338741000122,AR COMERCIO E IMPORTACAO LTDA,3144805,889.2575757575758,6006.621212121212,10505495,53742220
565,14723088000184,CENTENARIA MADEIRAS E MOVEIS EIRELI,3144805,889.2575757575758,6006.621212121212,10505495,53742220
566,25038636000153,CHARTH COMERCIO DE ARTIGOS DE VESTUARIO E ACESSORIOS LTDA,3144805,889.2575757575758,6006.621212121212,10505495,53742220
567,15176668000161,CLIEVER INDUSTRIA E COMERCIO DE PRODUTOS TECNOLOGICOS S,3144805,889.2575757575758,6006.621212121212,10505495,53742220
568,25420932000114,CORAZZO JOIAS LTDA,3144805,889.2575757575758,6006.621212121212,10505495,53742220
569,32522505000102,CULTIVITA COMERCIO E IMPORTACAO DE ARTIGOS PARA CASA LTDA,3144805,889.2575757575758,6006.621212121212,10505495,53742220
570,22722417000109,DA MATTA DESIGN EIRELI,3144805,889.2575757575758,6006.621212121212,10505495,53742220
571,24162382000118,DISTRIBUIDORA BC LTDA,3144805,889.2575757575758,6006.621212121212,10505495,53742220
572,28152271000181,DRYCOM COMERCIO IMPORTACAO E DISTRIBUIDORA DE PRODUTOS MEDICOS E HOSPITALARES LTDA,3144805,889.2575757575758,6006.621212121212,10505495,53742220
573,24221482000178,E S MUNE COMERCIO DE EQUIPAMENTOS,3144805,889.2575757575758,6006.621212121212,10505495,53742220
574,12302935000101,EXIMIUS NEGOCIOS INTERNACIONAIS LTDA,3144805,889.2575757575758,6006.621212121212,10505495,53742220
575,15726213000172,F & F COMERCIO DE TELAS DE ARAMES LTDA,3144805,889.2575757575758,6006.621212121212,10505495,53742220
576,26822546000111,GOLA FOODS COMERCIO E INDUSTRIA DE ALIMENTOS EIRELI,3144805,889.2575757575758,6006.621212121212,10505495,53742220
577,29725576000106,GOOD FEET COMERCIO DE PRODUTOS AVICOLAS LTDA,3144805,889.2575757575758,6006.621212121212,10505495,53742220
578,28150724000130,ICBREEW - FABRICACAO DE EMBALAGENS ESPECIAIS RECICLAVEIS LTDA,3144805,889.2575757575758,6006.621212121212,10505495,53742220
579,11041132000188,INNOVER INDUSTRIA E COMERCIO DE PRODUTOS ODONTOLOGICOS,3144805,889.2575757575758,6006.621212121212,10505495,53742220
580,26886724000178,JARDIM PANC COMERCIO E DISTRIBUICAO DE BEBIDAS LTDA,3144805,889.2575757575758,6006.621212121212,10505495,53742220
581,30006646000147,L I L BLOOM CONFECCAO E COMERCIO DE ROUPAS LTDA,3144805,889.2575757575758,6006.621212121212,10505495,53742220
582,32983401000103,LANTAU IMPORTACAO E EXPORTACAO LTDA,3144805,889.2575757575758,6006.621212121212,10505495,53742220
583,11357769000188,LKX CONSTRUCAO E SERVICOS LTDA,3144805,889.2575757575758,6006.621212121212,10505495,53742220
584,65221772000107,MARMORARIA MHARMAROS COMERCIO E INDUSTRIA LTDA,3144805,889.2575757575758,6006.621212121212,10505495,53742220
585,20709163000155,MEGAMED COMERCIO E IMPORTACAO DE MATERIAIS HOSPITALARES LTDA,3144805,889.2575757575758,6006.621212121212,10505495,53742220
586,27031931000103,MFR ENGENHARIA E SEGURANCA RESIDENCIAL - EIRELI,3144805,889.2575757575758,6006.621212121212,10505495,53742220
587,10325563000103,MGE INTERNACIONAL LTDA,3144805,889.2575757575758,6006.621212121212,10505495,53742220
588,20247730000107,MMC ILUMINACAO EIRELI,3144805,889.2575757575758,6006.621212121212,10505495,53742220
589,18821633000126,OFF CAMBER COMERCIO E IMPORTACAO DE BICICLETAS EIRELI,3144805,889.2575757575758,6006.621212121212,10505495,53742220
590,32017604000137,OOL LIGHT ILUMINACAO EIRELI,3144805,889.2575757575758,6006.621212121212,10505495,53742220
591,12904094000102,ORETEC LTDA,3144805,889.2575757575758,6006.621212121212,10505495,53742220
592,30126928000188,PARO COMERCIO IMPORTACAO E EXPORTACAO DE MAQUINAS E EQU,3144805,889.2575757575758,6006.621212121212,10505495,53742220
593,67923599000106,PLANNER ETIQUETAS ESPECIAIS LTDA,3144805,889.2575757575758,6006.621212121212,10505495,53742220
594,11738545000116,ROMA MARMORES E GRANITOS LTDA,3144805,889.2575757575758,6006.621212121212,10505495,53742220
595,21528145000130,SANTA BARBARA LOCACOES EIRELI,3144805,889.2575757575758,6006.621212121212,10505495,53742220
596,97454110000165,SIDCOM LTDA,3144805,889.2575757575758,6006.621212121212,10505495,53742220
597,23644045000102,SPECIAL LENSES OTICA IMPORTACAO LTDA,3144805,889.2575757575758,6006.621212121212,10505495,53742220
598,14626433000161,STAGETEC COMERCIO E IMPORTACAO LTDA,3144805,889.2575757575758,6006.621212121212,10505495,53742220
599,18896025000180,STEP ILUMINACAO EIRELI,3144805,889.2575757575758,6006.621212121212,10505495,53742220
600,26072303000103,STEREOSOUND - AUDIO VIDEO E AUTOMACAO EIRELI,3144805,889.2575757575758,6006.621212121212,10505495,53742220
601,23975135000178,VAV DISTRIBUIDORA EIRELI,3144805,889.2575757575758,6006.621212121212,10505495,53742220
602,18136504000107,WATANABE COMERCIO E IMPORTACAO LTDA - ME,3144805,889.2575757575758,6006.621212121212,10505495,53742220
603,18840438000143,A2MD COMERCIO E CONSULTORIA LTDA,3170206,564.3365384615385,3811.894230769231,157085937,212286679
604,21296571000195,AGROFREITAS COMERCIO DE PECAS E IMPLEMENTOS AGRICOLAS LTDA,3170206,564.3365384615385,3811.894230769231,157085937,212286679
